opcode,keytype,refcount,elemsize,numiters,ns
PACKMAP,Any,255,1,100000,4043
PACKMAP,Any,511,1,100000,7034
PACKMAP,Any,767,1,100000,9864
PACKMAP,Any,1023,1,100000,12953
PACKMAP,Any,1279,1,100000,15913
PACKMAP,Any,1535,1,100000,18873
PACKMAP,Any,1791,1,100000,21941
PACKMAP,Any,2047,1,100000,25214
PACKMAP,Integer,254,127,100000,86392
PACKMAP,Integer,510,255,100000,302688
PACKMAP,Integer,766,383,100000,658957
PACKMAP,Integer,1022,511,100000,2661356
PACKMAP,Integer,1278,639,100000,3895498
PACKMAP,Integer,1534,767,100000,5290121
PACKMAP,Integer,1790,895,100000,7083858
PACKMAP,Integer,2046,1023,100000,9207018
PACKMAP,ByteString,254,127,100000,229827
PACKMAP,ByteString,510,255,100000,679607
PACKMAP,ByteString,766,383,100000,706117
PACKMAP,ByteString,1022,511,100000,2799167
PACKMAP,ByteString,1278,639,100000,4252418
PACKMAP,ByteString,1534,767,100000,5727771
PACKMAP,ByteString,1790,895,100000,7702513
PACKMAP,ByteString,2046,1023,100000,9950942
